Myocardial infarction,Congestive heart failure,Peripheral vascular disease,Cerebrovascular disease,Dementia,Chronic pulmonary disease,Rheumatic disease,Peptic ulcer disease,Mild liver disease,Diabetes without chronic complication,Diabetes with chronic complication,Hemiplegia or paraplegia,"Any tumor lymphoma and leukemia, except malignant neoplasm of skin",Renal disease,Moderate or severe liver disease,Metastatic solid tumor,AIDS/HIV
I21.x,I09.9,I70.x,G45.x,F00.x,I27.8,M05.x,K25.x,B18.x,E10.0,E10.2,G04.1,C00.x-C26.x,I12.0,I85.0,C77.x,B20.x
I22.x, I11.0, I71.x, G46.x, F02.x, I27.9, M06.x, K26.x, K70.0, E10.l, E10.3, G11.4,C30.x-C34.x, I13.1, I85.9, C78.x, B21.x
I25.2, I13.0, I73.1, H34.0, F03.x, J40.x, M31.5, K27.x, K70.1, E10.6, E10.4, G80.1,, N03.2, I86.4, C79.x, B22.x
, I13.2, I73.8, I60.x, F05.1, J41.x, M32.x, K28.x, K70.2, E10.8, E10.5, G80.2,, N03.3, I98.2, C80.x, B24.x
, I25.5, I73.9, 162.x, G30.x, J42.x, M33.x,, K70.3, E10.9, E10.7, G81.x,, N03.4, K70.4,,
, I42.0, I77.1, 163.x, G31.1, J43.x, M34.x,, K70.9, E11.0, E11.2, G82.x,, N03.5, K71.1,,
, I42.5, I79.0, 164.x,, J44.x, M35.1,, K71.3, E11.1, E11.3, G83.0,, N03.6, K72.1,,
, I42.6, I79.2, 165.x,, J45.x, M35.3,, K71.4, E11.6, E11.4, G83.1,, N03.7, K72.9,,
, I42.7, K55.1, 166.x,, J46.x, M36.0,, K71.5, E11.8, E11.5, G83.2,, N05.2, K76.5,,
, I42.8, K55.8, 167.x,, J47.x,,, K71.7, E11.9, E11.7, G83.3,, N05.3, K76.6,,
, I42.9, K55.9, 168.x,, J60.x,,, K73.x, E12.0, E12.2, G83.4,, N05.4,,,
, I43.x, Z95.8, I69.x,, J61.x,,, K74.x, E12.1, E12.3, G83.9,, N05.5,,,
, I50.x, Z95.9,,, J62.x,,, K76.0, E12.6, E12.4,,, N05.6,,,
, P29.0,,,, J63.x,,, K76.2, E12.8, E12.5,,, N05.7,,,
,,,,, J64.x,,, K76.3, E12.9, E12.7,,, N18.x,,,
,,,,, J65.x,,, K76.4, E13.0, E13.2,,, N19.x,,,
,,,,, J66.x,,, K76.8, E13.1, E13.3,,, N25.0,,,
,,,,, J67.x,,, K76.9, E13.6, E13.4,,, Z49.0,,,
,,,,, J68.4,,, Z94.4, E13.8,E13.5,,, Z49.1,,,
,,,,, J70.1,,,, E13.9, E13.7,,, Z49.2,,,
,,,,, J70.3,,,, E14.0, E14.2,,, Z94.0,,,
,,,,,,,,, E14.1, E14.3,,, Z99.2,,,
,,,,,,,,, E14.6, E14.4,,,,,,
,,,,,,,,, E14.8, E14.5,,,,,,
,,,,,,,,, E14.9, E14.7,,,,,,
